start_node,end_node,d_dist,bf_dist,d_time_matrix,d_time_list,bf_time_matrix,bf_time_list
5222,36620,312,312,1817725,36766,36197437,22372
25462,14544,358,358,523709,27527,44675485,25734
32739,6094,377,377,1586870,35112,39004730,21309
16020,32362,408,408,556372,17002,39191118,22711
34864,21456,163,163,43018,2576,36372243,28927
5979,3998,309,309,958278,24101,33517669,25454
4514,13145,217,217,662130,18196,41934909,25605
16181,29489,429,429,1300934,29115,39164385,22657
35034,10940,813,813,3084623,57422,44807470,26008
29708,20748,147,147,194678,3420,36397171,23773
